Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,92041,84518,83981,87064,84034,86836,84499,85609
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,310254,324743,323168,379788,328619,349048,357000,354118
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,423530,443468,452319,451573,391227,417280,438528,426811
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,822377,837008,817586,860657,829712,733889,788378,857910
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,215347,233645,220764,227619,205436,226131,228561,227624
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,651803,668345,610133,636864,559858,558109,593497,574446
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,266905,273202,242728,263723,267397,304350,270699,238188
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,292711,283505,296099,280657,209736,231024,259044,295635
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,1206465,1178962,1074673,1145460,1184100,1158735,1137254,1109021
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,1789795,1777130,1899038,1983456,1633707,1763458,1688125,1553935
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,617395,603167,581926,540519,537343,528304,513961,496842
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,153854,159857,145501,145904,135396,127195,134249,121003
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,148988,139993,159232,168823,171783,167588,160380,149150
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,764823,725876,719544,662457,771692,754962,740237,743757
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,298798,269704,292113,295647,236161,259237,231186,248584
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,610402,640940,629566,664699,537535,581224,591316,569200
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,230219,212012,198227,203193,197962,200294,219607,192908
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,271327,266582,243694,246204,243087,219497,250217,238446
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,272481,271324,261945,267881,263810,257629,239838,211185
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,359193,353145,348952,340019,353161,321608,316021,337769
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,304859,336041,319024,325105,307628,312191,310577,308103
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,230132,220181,229445,230988,222892,212661,219822,219282
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,345870,358270,361437,382208,296963,325555,331401,326745
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,120242,129896,121142,123706,104337,122776,120317,121826
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,603078,566265,627838,625760,556990,561154,628607,555717
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,278947,270438,279685,278692,270106,293056,290444,273002
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,132421,131264,144929,135688,120301,131822,127221,128784
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,6768298,7053915,7077215,7382026,6246519,6487596,6611094,6742669
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,76398,72145,76091,74528,66431,66497,69196,72222
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,241019,243445,282171,241110,193710,205154,226924,234247
